Taxa.name,genus,species,Mobility.apparatus,size,Colonial,Filament,centric,Gelatinous,aerotopes,Class,Order,MFG.fromtraits
Chroococcus limneticus,Chroococcus,limneticus,0,large,1,0,0,0,0,Cyanophyceae,Chroococcales,5c-OtherChroo
Chroococcus microscopicus,Chroococcus,microscopicus,0,small,1,0,0,0,0,Cyanophyceae,Chroococcales,5d-SmallChroo
Chroococcus minimus,Chroococcus,minimus,0,small,1,0,0,0,0,Cyanophyceae,Chroococcales,5d-SmallChroo
Chroococcus minutus,Chroococcus,minutus,0,small,1,0,0,0,0,Cyanophyceae,Chroococcales,5d-SmallChroo
Chroococcus obliteratus,Chroococcus,obliteratus,0,small,1,0,0,0,0,Cyanophyceae,Chroococcales,5d-SmallChroo
Chroococcus prescottii,Chroococcus,prescottii,0,small,1,0,0,0,0,Cyanophyceae,Chroococcales,5d-SmallChroo
Chroococcus,Chroococcus,,0,large,1,0,0,0,0,Cyanophyceae,Chroococcales,5c-OtherChroo
Chroococcus turgidus,Chroococcus,turgidus,0,large,1,0,0,NA,NA,Cyanophyceae,Chroococcales,5c-OtherChroo
Chroococcus varius,Chroococcus,varius,0,large,1,0,0,0,0,Cyanophyceae,Chroococcales,5c-OtherChroo
Chroomonas coerulea,Chroomonas,coerulea,1,small,0,0,0,1,0,Cryptophyceae,Pyrenomonadales,2d-Crypto
Chroomonas,Chroomonas,,1,small,0,0,0,1,0,Cryptophyceae,Pyrenomonadales,2d-Crypto
Chrysastrella furcata,Chrysastrella,furcata,1,small,0,0,0,1,0,Chrysophyceae,,2a-SmallChry1
Chrysococcus minutus,Chrysococcus,minutus,1,small,0,0,0,0,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Chrysococcus,Chrysococcus,,1,small,0,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Chrysolykos angulatum,Chrysolykos,angulatum,1,small,0,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Chrysolykos gracilis,Chrysolykos,gracilis,1,small,0,0,0,0,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Chrysolykos planctonicus,Chrysolykos,planctonicus,1,small,0,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Chrysolykos skujai,Chrysolykos,skujai,1,small,0,0,0,1,0,Chrysophyceae,Chromulinales,2a-SmallChry1
Cladomonas fruticulosa,Cladomonas,fruticulosa,0,small,1,0,0,1,0,Chrysophyceae,,11c-OtherCol
Closteriopsis longissima,Closteriopsis,longissima,0,large,0,0,0,0,0,Chlorophyceae,Sphaeropleales,8a-LargeCoCh
Closterium acerosum,Closterium,acerosum,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Closterium aciculare,Closterium,aciculare,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Closterium acutum,Closterium,acutum,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Closterium acutum latius,Closterium,acutum latius,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Closterium acutum linea,Closterium,acutum linea,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Closterium acutum variabile,Closterium,acutum variabile,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Closterium lanceolatum,Closterium,lanceolatum,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Closterium cornu,Closterium,cornu,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Closterium dianae,Closterium,dianae,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Closterium ehrenbergii,Closterium,ehrenbergii,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Closterium gracile,Closterium,gracile,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Closterium jenneri,Closterium,jenneri,0,small,0,0,0,0,0,Zygnematophyceae,Zygnematales,9a-SmallConj
Closterium limneticum,Closterium,limneticum,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Closterium lineatum,Closterium,lineatum,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Closterium monoliferum,Closterium,monoliferum,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Closterium nordstedtii,Closterium,nordstedtii,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Closterium parvulum,Closterium,parvulum,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Closterium pronum,Closterium,pronum,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Closterium,Closterium,,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Closterium strigosum,Closterium,strigosum,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Closterium striolatum,Closterium,striolatum,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Closterium venus westii,Closterium,venus westii,0,large,0,0,0,0,0,Zygnematophyceae,Zygnematales,8a-LargeCoCh
Coccomonas platyformis,Coccomonas,platyformis,1,small,0,0,0,0,0,Chlorophyceae,Chlorococcales,NA
Coccomyxa littoralis,Coccomyxa,littoralis,0,small,0,0,0,1,0,Chlorophyceae,Chlorococcales,9b-SmallChlor
Cocconeis pediculus,Cocconeis,pediculus,1,small,0,0,0,1,0,Bacillariophyceae,Achnanthales,7b-SmallPenn
Cocconeis placentula,Cocconeis,placentula,1,small,0,0,0,1,0,Bacillariophyceae,Achnanthales,7b-SmallPenn
Cocconeis placentula euglypta,Cocconeis,placentula euglypta,1,small,0,0,0,1,0,Bacillariophyceae,Achnanthales,7b-SmallPenn
Cocconeis,Cocconeis,,1,small,0,0,0,1,0,Bacillariophyceae,Achnanthales,7b-SmallPenn
Codosiga botrytis,Codosiga,botrytis,0,small,0,0,0,1,0,Choanoflagellatea,Choanoflagellida,9d-SmallUnic
Codosiga,Codosiga,,0,small,0,0,0,1,0,Choanoflagellatea,Choanoflagellida,9d-SmallUnic
Coelastrum astroideum,Coelastrum,astroideum,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Coelastrum cambricum,Coelastrum,cambricum,0,large,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Coelastrum indicum,Coelastrum,indicum,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Coelastrum microporum,Coelastrum,microporum,0,large,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Coelastrum morus,Coelastrum,morus,0,large,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Coelastrum pseudomicroporum,Coelastrum,pseudomicroporum,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Coelastrum reticulatum,Coelastrum,reticulatum,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Coelastrum,Coelastrum,,0,small,1,0,0,NA,NA,Chlorophyceae,Chlorococcales,11a-NakeChlor
Coelastrum sphaericum,Coelastrum,sphaericum,0,large,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Coelosphaerium kutzingii,Coelosphaerium,kutzingii,0,large,1,0,0,0,0,Cyanophyceae,Chroococcales,5c-OtherChroo
Coenochloris hindakii,Coenochloris,hindakii,0,large,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Coenochloris ovalis,Coenochloris,ovalis,0,large,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Coenochloris pyrenoideum minimum,Coenochloris,pyrenoideum minimum,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Coenochloris pyrenoidosa,Coenochloris,pyrenoidosa,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Coenochloris,Coenochloris,,0,small,1,0,0,0,0,Chlorophyceae,Chlorococcales,11a-NakeChlor
Coenocystis planctonica hercynica,Coenocystis,planctonica hercynica,0,large,1,0,0,1,0,Chlorophyceae,Chlorococcales,11b-GelaChlor
Coenocystis,Coenocystis,,0,small,1,0,0,1,0,Chlorophyceae,Chlorococcales,11b-GelaChlor
Coenocystis subcylindrica,Coenocystis,subcylindrica,0,large,1,0,0,1,0,Chlorophyceae,Chlorococcales,11b-GelaChlor
