MFG.num,phyto_name,Algaebase_Current_7Aug2017,Match.,X,genus,species,MFG,CSR,flagella,autotroph,size,colonial,centric,gelatinous,aerotopes,filamentous
7b,Nitzschia sigmoidea,Nitzschia sigmoidea,TRUE,,Nitzschia,sigmoidea,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
7b,Nitzschia sp.,Nitzschia,FALSE,,Nitzschia,,7b-SmallPenn,CR,0,1,Small,NA,0,NA,NA,NA
8a,Closterium sp.,Closterium,FALSE,,Closterium,,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Staurastrum tetracerum,Staurastrum tetracerum,TRUE,,Staurastrum,tetracerum,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Staurastrum sp.,Staurastrum,FALSE,,Staurastrum,,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Staurodesmus sp.,Staurodesmus,FALSE,,Staurodesmus,,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Staurodesmus mamillatus,Staurodesmus mamillatus,TRUE,,Staurodesmus,mamillatus,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Ankistrodesmus falcatus acicularis,Monoraphidium griffithii,FALSE,,Monoraphidium,griffithii,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Closterium acutum v. variabile,Closterium acutum var. variabile,FALSE,,Closterium,acutum variabile,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Monoraphidium contortum,Monoraphidium contortum,TRUE,,Monoraphidium,contortum,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Closterium acutum,Closterium acutum,TRUE,,Closterium,acutum,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
8a,Schroederia setigera,Schroederia setigera,TRUE,,Schroederia,setigera,8a-LargeCoCh,S,0,1,Large,0,NA,NA,NA,NA
9a,Cosmarium sp.,Cosmarium,FALSE,,Cosmarium,,9a-SmallConj,C,0,1,Small,0,NA,NA,NA,NA
9b,Treubaria triappendiculata,Treubaria triappendiculata,TRUE,,Treubaria,triappendiculata,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Golenkiniopsis sp.,Golenkiniopsis,FALSE,,Golenkiniopsis,,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Tetraedron minimum,Tetraedron minimum,TRUE,,Tetraedron,minimum,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Chlorella sp.,Chlorella,FALSE,,Chlorella,,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Schroederia sp.,Schroederia,FALSE,,Schroederia,,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Lagerheimia quadriseta,Lagerheimia quadriseta,TRUE,,Lagerheimia,quadriseta,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Golenkinia radiata,Golenkinia radiata,TRUE,,Golenkinia,radiata,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Tetraedron triangulare,Tetraedron triangulare,TRUE,,Tetraedron,triangulare,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Monoraphidium arcuatum,Ankistrodesmus arcuatus,FALSE,,Ankistrodesmus,arcuatus,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
9b,Treubaria setigera,Treubaria setigera,TRUE,,Treubaria,setigera,9b-SmallChlor,C,0,1,Small,0,NA,NA,NA,NA
